metric,coef,se,z,p_value,n_matches,perspective,outcome,target,sig_group,sig_label,train_snr,oos_rmse,oos_mae,mu_train,llf_sum,aic_sum,bic_sum,llf_mean,aic_mean,bic_mean,n_train_matches,abs_z,neglog10_p,group_id,rank_abs_z_in_group
break_line_suc,0.000186879040632,1.0532844818657333e-07,1774.2503934076983,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,1774.2503934076983,300.0,attack|hold|self,1.0
shot_saved_att,-0.0048867634400736,0.0001677708063525,-29.127614906994257,0.0,472,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,29.127614906994257,300.0,attack|hold|self,2.0
zone14_pass_try,-0.0014954237609395,0.000106193469435,-14.08206897180247,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,14.08206897180247,300.0,attack|hold|self,3.0
break_line_try,-0.0007135262435072,5.448925667561907e-05,-13.094805967990649,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,13.094805967990649,300.0,attack|hold|self,4.0
box_pass_try,-0.0013274310521188,0.0001028662302707,-12.904439568020187,0.0,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,12.904439568020187,300.0,attack|hold|self,5.0
shot_blocked_att,-0.0018156166000002,0.0001664663048084,-10.906811454064355,0.0,468,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,10.906811454064355,300.0,attack|hold|self,6.0
att_miss,6.563326556888457e-07,8.638160025554063e-08,7.598060857257014,2.9976021664879227e-14,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,7.598060857257014,13.523226006032017,attack|hold|self,7.0
seq_duration,-0.0011436816829905,0.0001567725670457,-7.295164610380036,2.9820590441431705e-13,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,7.295164610380036,12.525483761858307,attack|hold|self,8.0
seq_event_num,-0.0011984556714772,0.000177198875681,-6.763336769890705,1.3484990901702076e-11,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,6.763336769890705,10.87014934222866,attack|hold|self,9.0
box_pass_suc,-0.0014583669063466,0.0002171191321269,-6.716897272296723,1.8563373060942467e-11,474,attack,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,6.716897272296723,10.731343107392142,attack|hold|self,10.0
zone14_pass_suc,9.665009077429106e-05,8.819595022432515e-05,1.0958563349956878,0.2731416504157438,474,attack,hold,self,D,Not significant,0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,1.0958563349956878,0.5636120707627682,attack|hold|self,11.0
shot_offpost_att,3.078988652008514e-09,2.8867469391659064e-07,0.0106659458445573,0.991489967838189,474,attack,hold,self,D,Not significant,0.0001934686596839,0.1697479931304718,0.1356427440020517,0.520310003440944,2281747.515415573,-4550239.030831145,-4509112.359885702,4813.813323661546,-9599.660402597352,-9512.895274020468,237,0.0106659458445573,0.003711675744667642,attack|hold|self,12.0
break_line_suc,4.683048147672403e-05,6.910327471737021e-08,677.6883102611118,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,677.6883102611118,300.0,attack|xG|self,1.0
shot_blocked_att,0.0027333664145151,0.0001094942023535,24.963572095708408,0.0,468,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,24.963572095708408,300.0,attack|xG|self,2.0
att_miss,1.3340782787258022e-06,6.335519438928565e-08,21.05712549043044,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,21.05712549043044,300.0,attack|xG|self,3.0
zone14_pass_suc,0.0013125786889198,8.022311632490296e-05,16.36160185555381,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,16.36160185555381,300.0,attack|xG|self,4.0
box_pass_suc,0.0021624021719801,0.0001609788998426,13.432829855925757,0.0,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,13.432829855925757,300.0,attack|xG|self,5.0
shot_saved_att,-0.0012504394914815,0.000136025531816,-9.192682247126845,0.0,472,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,9.192682247126845,300.0,attack|xG|self,6.0
seq_duration,0.000453821635352,9.669144143534622e-05,4.693503671216796,2.6856516868178915e-06,474,attack,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,4.693503671216796,5.57095031344764,attack|xG|self,7.0
box_pass_try,0.0001632756223468,6.799683067801417e-05,2.4012240088076786,0.0163403301028441,474,attack,xG,self,C,"Significant (p≤0.05, |z|≥1.96)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,2.4012240088076786,1.7867391742175833,attack|xG|self,8.0
shot_offpost_att,-5.431317384640668e-07,2.672608171426629e-07,-2.032216111103728,0.0421317825808249,474,attack,xG,self,C,"Significant (p≤0.05, |z|≥1.96)",9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,2.032216111103728,1.3753901656384442,attack|xG|self,9.0
zone14_pass_try,-0.0001556764607939,0.0001493428270558,-1.0424100297478625,0.2972216183957155,474,attack,xG,self,D,Not significant,9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,1.0424100297478625,0.5269196053807979,attack|xG|self,10.0
break_line_try,3.53428492546721e-05,6.75638897192844e-05,0.5231026425730545,0.6009028266655936,474,attack,xG,self,D,Not significant,9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,0.5231026425730545,0.22119575304720046,attack|xG|self,11.0
seq_event_num,-2.8470907249308716e-05,0.0001276264620737,-0.2230799693629222,0.8234732676891128,474,attack,xG,self,D,Not significant,9.04692083665522e-06,0.1497816982530523,0.0917297160741156,0.075047771626099,2644428.8157195826,-5275601.631439165,-5234474.960493721,5578.963746243845,-11129.961247761952,-11043.196119185066,237,0.2230799693629222,0.08435049471347014,attack|xG|self,12.0
shot_offpost_att,-0.0025159094546955,2.550001315997623e-07,-9866.306495262652,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,9866.306495262652,300.0,attack|xT|self,1.0
seq_duration,-0.0307667842860022,2.42586432154952e-05,-1268.281330192036,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,1268.281330192036,300.0,attack|xT|self,2.0
break_line_suc,6.626076879004674e-05,7.36015952309237e-08,900.2626720542504,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,900.2626720542504,300.0,attack|xT|self,3.0
box_pass_try,-0.0025262249108884,3.259033214696743e-05,-77.51454939140599,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,77.51454939140599,300.0,attack|xT|self,4.0
seq_event_num,-0.0029018072383298,6.016347572778022e-05,-48.23204117161684,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,48.23204117161684,300.0,attack|xT|self,5.0
zone14_pass_suc,0.0028164980566937,0.0001138609451541,24.736296127524923,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,24.736296127524923,300.0,attack|xT|self,6.0
shot_blocked_att,0.0022278691560325,0.0001239483973748,17.97416669531855,0.0,468,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,17.97416669531855,300.0,attack|xT|self,7.0
att_miss,9.932270140717475e-07,5.753254224719122e-08,17.263742836259556,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,17.263742836259556,300.0,attack|xT|self,8.0
shot_saved_att,-0.0024124229250538,0.0001464735933356,-16.47001940838664,0.0,472,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,16.47001940838664,300.0,attack|xT|self,9.0
box_pass_suc,0.0020661679491261,0.0002340311019957,8.828604110764633,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,8.828604110764633,300.0,attack|xT|self,10.0
break_line_try,0.0003823310913584,8.272870139422133e-05,4.621504809274846,3.8096650032404256e-06,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,4.621504809274846,5.41911321163161,attack|xT|self,11.0
